ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End
DBI7,EMA1,DBI7->EMA1,3/21/2024 23:59,3/21/2024,7:00,8:30,3/21/2024,9:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/21/2024 23:59,3/21/2024,7:30,9:00,3/21/2024,10:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/22/2024 23:59,3/22/2024,6:00,7:30,3/22/2024,8:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/22/2024 23:59,3/22/2024,7:00,8:30,3/22/2024,9:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/22/2024 23:59,3/22/2024,7:30,9:00,3/22/2024,10:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/23/2024 23:59,3/23/2024,6:00,7:30,3/23/2024,8:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/23/2024 23:59,3/23/2024,7:00,8:30,3/23/2024,9:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/23/2024 23:59,3/23/2024,7:30,9:00,3/23/2024,10:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/24/2024 23:59,3/24/2024,6:00,7:30,3/24/2024,8:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/24/2024 23:59,3/24/2024,7:00,8:30,3/24/2024,9:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/24/2024 23:59,3/24/2024,7:30,9:00,3/24/2024,10:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
EMSA,EMA4,EMSA->EMA4,3/18/2024 23:59,3/18/2024,12:00,12:30,3/18/2024,13:56,0:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
EMSA,EMA4,EMSA->EMA4,3/19/2024 23:59,3/19/2024,11:30,12:00,3/19/2024,13:26,0:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
EMSA,EMA4,EMSA->EMA4,3/22/2024 23:59,3/22/2024,11:30,12:00,3/22/2024,13:26,0:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
EMSA,EMA4,EMSA->EMA4,3/23/2024 23:59,3/23/2024,11:30,12:00,3/23/2024,13:26,0:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
EMSA,EMA4,EMSA->EMA4,3/23/2024 23:59,3/23/2024,12:30,13:00,3/23/2024,14:26,0:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
EMSA,EMA4,EMSA->EMA4,3/24/2024 23:59,3/24/2024,11:30,12:00,3/24/2024,13:26,0:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
EMSA,EMA4,EMSA->EMA4,3/24/2024 23:59,3/24/2024,12:30,13:00,3/24/2024,14:26,0:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DRG2,LCY3,DRG2->LCY3,3/19/2024 23:59,3/19/2024,6:00,7:30,3/19/2024,10:36,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DDN1,MAN3,DDN1->MAN3,3/20/2024 23:59,3/20/2024,5:00,6:30,3/20/2024,9:05,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DDN1,MAN3,DDN1->MAN3,3/22/2024 23:59,3/22/2024,5:00,6:30,3/22/2024,9:05,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DDN1,MAN3,DDN1->MAN3,3/23/2024 23:59,3/23/2024,5:00,6:30,3/23/2024,9:05,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DDN1,MAN3,DDN1->MAN3,3/24/2024 23:59,3/24/2024,4:00,5:30,3/24/2024,8:05,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DDN1,MAN3,DDN1->MAN3,3/24/2024 23:59,3/24/2024,4:00,5:30,3/24/2024,8:05,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/19/2024 23:59,3/19/2024,3:00,4:30,3/19/2024,8:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/19/2024 23:59,3/19/2024,5:00,6:30,3/19/2024,10:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/19/2024 23:59,3/19/2024,6:00,7:30,3/19/2024,11:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/20/2024 23:59,3/20/2024,4:30,6:00,3/20/2024,10:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/20/2024 23:59,3/20/2024,6:00,7:30,3/20/2024,11:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/21/2024 23:59,3/21/2024,4:30,6:00,3/21/2024,10:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/21/2024 23:59,3/21/2024,6:00,7:30,3/21/2024,11:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/22/2024 23:59,3/22/2024,5:00,6:30,3/22/2024,10:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/22/2024 23:59,3/22/2024,6:00,7:30,3/22/2024,11:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/23/2024 23:59,3/23/2024,5:00,6:30,3/23/2024,10:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/23/2024 23:59,3/23/2024,6:00,7:30,3/23/2024,11:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/24/2024 23:59,3/24/2024,5:00,6:30,3/24/2024,10:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DXN1,EMA1,DXN1->EMA1,3/24/2024 23:59,3/24/2024,6:00,7:30,3/24/2024,11:39,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DST1,BHX8,DST1->BHX8,3/18/2024 23:59,3/18/2024,19:00,20:30,3/18/2024,22:42,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DPE2,LTN1,DPE2->LTN1,3/18/2024 23:59,3/18/2024,4:00,5:30,3/18/2024,7:13,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DME4,LCY3,DME4->LCY3,3/22/2024 23:59,3/22/2024,20:00,21:30,3/22/2024,22:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
